,HP,ATK,DEF,HP.PR,ATK.PR,DEF.PR,CRIT,HIT,DODG,MSPD,HAST,LFS,COST,TOTALCOST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,503,44,7,0,0,0,0,0,0,0,0,0,50,50
2,503,44,7,0.7,0.9,0.7,0,5,5,0,0,0,60,110
3,"1,257.00",111,18,0.7,0.9,0.7,0,5,5,0,0,0,70,180
4,"1,257.00",111,18,1.4,1.8,1.4,0,5,5,0,0,0,80,260
5,"1,257.00",111,18,1.4,1.8,1.4,0,5,5,0,0,0,100,360
6,"2,262.00",199,33,1.4,1.8,1.4,0,5,5,0,0,0,120,480
7,"2,262.00",199,33,2.1,2.7,2.1,0,5,5,0,0,0,140,620
8,"3,518.00",310,51,2.1,2.7,2.1,0,5,5,0,0,0,160,780
9,"3,518.00",310,51,2.8,3.6,2.8,0,5,5,0,0,0,180,960
10,"3,518.00",310,51,2.8,3.6,2.8,0,5,5,0,0,0,200,1160
11,"5,026.00",442,73,2.8,3.6,2.8,0,5,5,0,0,0,220,1380
12,"5,026.00",442,73,3.5,4.5,3.5,0,10,10,0,0,0,240,1620
13,"6,785.00",597,99,3.5,4.5,3.5,0,10,10,0,0,0,260,1880
14,"6,785.00",597,99,4.2,5.4,4.2,0,10,10,0,0,0,280,2160
15,"6,785.00",597,99,4.2,5.4,4.2,0,10,10,0,0,0,300,2460
16,"9,047.00",796,132,4.2,5.4,4.2,0,10,10,0,0,0,330,2790
17,"9,047.00",796,132,4.9,6.3,4.9,0,10,10,0,0,0,360,3150
18,"11,811.00","1,040.00",172,4.9,6.3,4.9,0,10,10,0,0,0,390,3540
19,"11,811.00","1,040.00",172,5.6,7.2,5.6,0,10,10,0,0,0,420,3960
20,"11,811.00","1,040.00",172,5.6,7.2,5.6,0,10,10,0,0,0,450,4410
21,"14,827.00","1,305.00",216,5.6,7.2,5.6,0,10,10,0,0,0,500,4910
22,"14,827.00","1,305.00",216,6.3,8.1,6.3,0,15,15,0,0,0,550,5460
23,"18,094.00","1,593.00",264,6.3,8.1,6.3,0,15,15,0,0,0,600,6060
24,"21,612.00","1,902.00",315,6.3,8.1,6.3,0,15,15,0,0,0,650,6710
25,"21,612.00","1,902.00",315,6.3,8.1,6.3,0,15,15,0,0,0,700,7410
26,"25,381.00","2,234.00",370,6.3,8.1,6.3,0,15,15,0,0,0,750,8160
27,"25,381.00","2,234.00",370,7,9,7,0,15,15,0,0,0,800,8960
28,"29,402.00","2,588.00",428,7,9,7,0,15,15,0,0,0,800,9760
29,"33,674.00","2,964.00",490,7,9,7,0,15,15,0,0,0,800,10560
30,"33,674.00","2,964.00",490,7,9,7,0,15,15,0,0,0,800,11360
31,"38,198.00","3,362.00",556,7,9,7,0,15,15,0,0,0,800,12160
32,"38,198.00","3,362.00",556,7.7,9.9,7.7,0,15,15,0,0,0,800,12960
33,"42,972.00","3,783.00",626,7.7,9.9,7.7,0,15,15,0,0,0,800,13760
34,"47,998.00","4,225.00",699,7.7,9.9,7.7,0,15,15,0,0,0,800,14560
35,"47,998.00","4,225.00",699,7.7,9.9,7.7,0,15,15,0,0,0,800,15360
36,"53,276.00","4,689.00",776,7.7,9.9,7.7,0,15,15,0,0,0,800,16160
37,"53,276.00","4,689.00",776,7.7,9.9,7.7,0,22,22,0,0,0,800,16960
38,"58,804.00","5,176.00",856,7.7,9.9,7.7,0,22,22,0,0,0,800,17760
39,"64,584.00","5,685.00",941,7.7,9.9,7.7,0,22,22,0,0,0,800,18560
40,"64,584.00","5,685.00",941,7.7,9.9,7.7,0,22,22,0,0,0,800,19360
41,"70,741.00","6,227.00","1,030.00",7.7,9.9,7.7,0,22,22,0,0,0,800,20160
42,"70,741.00","6,227.00","1,030.00",8.4,10.8,8.4,0,22,22,0,0,0,800,20960
43,"77,275.00","6,802.00","1,125.00",8.4,10.8,8.4,0,22,22,0,0,0,800,21760
44,"84,186.00","7,410.00","1,226.00",8.4,10.8,8.4,0,22,22,0,0,0,800,22560
45,"84,186.00","7,410.00","1,226.00",8.4,10.8,8.4,0,22,22,0,0,0,800,23360
46,"91,473.00","8,052.00","1,332.00",8.4,10.8,8.4,0,22,22,0,0,0,800,24160
47,"91,473.00","8,052.00","1,332.00",8.4,10.8,8.4,0,30,30,0,0,0,800,24960
48,"99,138.00","8,726.00","1,444.00",8.4,10.8,8.4,0,30,30,0,0,0,800,25760
49,"107,179.00","9,434.00","1,561.00",8.4,10.8,8.4,0,30,30,0,0,0,800,26560
50,"107,179.00","9,434.00","1,561.00",8.4,10.8,8.4,0,30,30,0,0,0,800,27360
51,"115,724.00","10,186.00","1,685.00",8.4,10.8,8.4,0,30,30,0,0,0,800,28160
52,"115,724.00","10,186.00","1,685.00",9.1,11.7,9.1,0,35,30,0,0,0,800,28960
53,"124,770.00","10,983.00","1,817.00",9.1,11.7,9.1,0,35,30,0,0,0,800,29760
54,"134,320.00","11,823.00","1,956.00",9.1,11.7,9.1,0,35,30,0,0,0,800,30560
55,"134,320.00","11,823.00","1,956.00",9.1,11.7,9.1,0,35,30,0,0,0,800,31360
56,"144,372.00","12,708.00","2,103.00",9.1,11.7,9.1,0,35,30,0,0,0,800,32160
57,"144,372.00","12,708.00","2,103.00",9.8,12.6,9.8,0,35,30,0,0,0,800,32960
58,"154,926.00","13,637.00","2,256.00",9.8,12.6,9.8,0,35,30,0,0,0,800,33760
59,"165,984.00","14,610.00","2,417.00",9.8,12.6,9.8,0,35,30,0,0,0,800,34560
60,"165,984.00","14,610.00","2,417.00",9.8,12.6,9.8,0,35,30,0,0,0,800,35360
61,"177,669.00","15,639.00","2,588.00",9.8,12.6,9.8,0,35,30,0,0,0,800,36160
62,"177,669.00","15,639.00","2,588.00",9.8,12.6,9.8,0,40,40,0,0,0,800,36960
63,"189,983.00","16,723.00","2,767.00",9.8,12.6,9.8,0,40,40,0,0,0,800,37760
64,"202,925.00","17,862.00","2,955.00",9.8,12.6,9.8,0,40,40,0,0,0,800,38560
65,"202,925.00","17,862.00","2,955.00",9.8,12.6,9.8,0,40,40,0,0,0,800,39360
66,"216,495.00","19,056.00","3,153.00",9.8,12.6,9.8,0,40,40,0,0,0,800,40160
67,"216,495.00","19,056.00","3,153.00",10.5,13.5,10.5,0,40,40,0,0,0,800,40960
68,"230,693.00","20,306.00","3,360.00",10.5,13.5,10.5,0,40,40,0,0,0,800,41760
69,"245,520.00","21,611.00","3,576.00",10.5,13.5,10.5,0,40,40,0,0,0,800,42560
70,"245,520.00","21,611.00","3,576.00",10.5,13.5,10.5,0,40,40,0,0,0,800,43360
71,"261,101.00","22,983.00","3,803.00",10.5,13.5,10.5,0,40,40,0,0,0,800,44160
72,"261,101.00","22,983.00","3,803.00",11.2,14.4,11.2,0,40,40,0,0,0,800,44960
73,"277,435.00","24,420.00","4,041.00",11.2,14.4,11.2,0,40,40,0,0,0,800,45760
74,"294,524.00","25,925.00","4,290.00",11.2,14.4,11.2,0,40,40,0,0,0,800,46560
75,"294,524.00","25,925.00","4,290.00",11.2,14.4,11.2,0,40,40,0,0,0,800,47360
76,"312,366.00","27,495.00","4,549.00",11.2,14.4,11.2,0,40,40,0,0,0,800,48160
77,"312,366.00","27,495.00","4,549.00",11.2,14.4,11.2,0,45,50,0,0,0,800,48960
