,HP,ATK,DEF,HP.PR,ATK.PR,DEF.PR,CRIT,HIT,DODG,MSPD,HAST,LFS,COST,TOTALCOST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,608,38,8,0,0,0,0,0,0,0,0,0,50,50
2,608,38,8,0.9,0.7,1,0,10,0,0,0,0,60,110
3,"1,520.00",94,20,0.9,0.7,1,0,10,0,0,0,0,70,180
4,"1,520.00",94,20,1.8,1.3,1.9,0,10,0,0,0,0,80,260
5,"1,520.00",94,20,1.8,1.3,1.9,0,10,0,0,0,0,100,360
6,"2,736.00",170,37,1.8,1.3,1.9,0,10,0,0,0,0,120,480
7,"2,736.00",170,37,2.7,2,2.9,0,10,0,0,0,0,140,620
8,"4,256.00",264,57,2.7,2,2.9,0,10,0,0,0,0,160,780
9,"4,256.00",264,57,3.6,2.6,3.8,0,10,0,0,0,0,180,960
10,"4,256.00",264,57,3.6,2.6,3.8,0,10,0,0,0,0,200,1160
11,"6,080.00",377,82,3.6,2.6,3.8,0,10,0,0,0,0,220,1380
12,"6,080.00",377,82,4.5,3.3,4.8,0,20,0,0,0,0,240,1620
13,"8,208.00",509,110,4.5,3.3,4.8,0,20,0,0,0,0,260,1880
14,"8,208.00",509,110,5.4,3.9,5.7,0,20,0,0,0,0,280,2160
15,"8,208.00",509,110,5.4,3.9,5.7,0,20,0,0,0,0,300,2460
16,"10,944.00",679,147,5.4,3.9,5.7,0,20,0,0,0,0,330,2790
17,"10,944.00",679,147,6.3,4.6,6.7,0,20,0,0,0,0,360,3150
18,"14,288.00",886,192,6.3,4.6,6.7,0,20,0,0,0,0,390,3540
19,"14,288.00",886,192,7.2,5.2,7.6,0,20,0,0,0,0,420,3960
20,"14,288.00",886,192,7.2,5.2,7.6,0,20,0,0,0,0,450,4410
21,"17,936.00","1,112.00",241,7.2,5.2,7.6,0,20,0,0,0,0,500,4910
22,"17,936.00","1,112.00",241,8.1,5.9,8.6,0,30,0,0,0,0,550,5460
23,"21,888.00","1,357.00",294,8.1,5.9,8.6,0,30,0,0,0,0,600,6060
24,"26,144.00","1,621.00",352,8.1,5.9,8.6,0,30,0,0,0,0,650,6710
25,"26,144.00","1,621.00",352,8.1,5.9,8.6,0,30,0,0,0,0,700,7410
26,"30,704.00","1,904.00",413,8.1,5.9,8.6,0,30,0,0,0,0,750,8160
27,"30,704.00","1,904.00",413,9,6.5,9.5,0,30,0,0,0,0,800,8960
28,"35,568.00","2,205.00",479,9,6.5,9.5,0,30,0,0,0,0,800,9760
29,"40,736.00","2,526.00",548,9,6.5,9.5,0,30,0,0,0,0,800,10560
30,"40,736.00","2,526.00",548,9,6.5,9.5,0,30,0,0,0,0,800,11360
31,"46,208.00","2,865.00",622,9,6.5,9.5,0,30,0,0,0,0,800,12160
32,"46,208.00","2,865.00",622,9.9,7.2,10.5,0,30,0,2,1,0,800,12960
33,"51,984.00","3,223.00",699,9.9,7.2,10.5,0,30,0,2,1,0,800,13760
34,"58,064.00","3,600.00",781,9.9,7.2,10.5,0,30,0,2,1,0,800,14560
35,"58,064.00","3,600.00",781,9.9,7.2,10.5,0,30,0,2,1,0,800,15360
36,"64,448.00","3,996.00",867,9.9,7.2,10.5,0,30,0,2,1,0,800,16160
37,"64,448.00","3,996.00",867,9.9,7.2,10.5,0,35,0,5,2.5,0,800,16960
38,"71,136.00","4,411.00",957,9.9,7.2,10.5,0,35,0,5,2.5,0,800,17760
39,"78,128.00","4,844.00","1,051.00",9.9,7.2,10.5,0,35,0,5,2.5,0,800,18560
40,"78,128.00","4,844.00","1,051.00",9.9,7.2,10.5,0,35,0,5,2.5,0,800,19360
41,"85,576.00","5,306.00","1,151.00",9.9,7.2,10.5,0,35,0,5,2.5,0,800,20160
42,"85,576.00","5,306.00","1,151.00",10.8,7.8,11.4,0,35,0,5,2.5,0,800,20960
43,"93,480.00","5,796.00","1,258.00",10.8,7.8,11.4,0,35,0,5,2.5,0,800,21760
44,"101,840.00","6,315.00","1,370.00",10.8,7.8,11.4,0,35,0,5,2.5,0,800,22560
45,"101,840.00","6,315.00","1,370.00",10.8,7.8,11.4,0,35,0,5,2.5,0,800,23360
46,"110,656.00","6,861.00","1,489.00",10.8,7.8,11.4,0,35,0,5,2.5,0,800,24160
47,"110,656.00","6,861.00","1,489.00",10.8,7.8,11.4,0,40,0,8,4,0,800,24960
48,"119,928.00","7,436.00","1,614.00",10.8,7.8,11.4,0,40,0,8,4,0,800,25760
49,"129,656.00","8,040.00","1,744.00",10.8,7.8,11.4,0,40,0,8,4,0,800,26560
50,"129,656.00","8,040.00","1,744.00",10.8,7.8,11.4,0,40,0,8,4,0,800,27360
51,"139,992.00","8,680.00","1,883.00",10.8,7.8,11.4,0,40,0,8,4,0,800,28160
52,"139,992.00","8,680.00","1,883.00",11.7,8.5,12.4,0,45,0,8,4,0,800,28960
53,"150,936.00","9,359.00","2,031.00",11.7,8.5,12.4,0,45,0,8,4,0,800,29760
54,"162,488.00","10,075.00","2,186.00",11.7,8.5,12.4,0,45,0,8,4,0,800,30560
55,"162,488.00","10,075.00","2,186.00",11.7,8.5,12.4,0,45,0,8,4,0,800,31360
56,"174,648.00","10,829.00","2,350.00",11.7,8.5,12.4,0,45,0,8,4,0,800,32160
57,"174,648.00","10,829.00","2,350.00",12.6,9.1,13.3,0,50,0,8,4,0,800,32960
58,"187,416.00","11,621.00","2,521.00",12.6,9.1,13.3,0,50,0,8,4,0,800,33760
59,"200,792.00","12,450.00","2,701.00",12.6,9.1,13.3,0,50,0,8,4,0,800,34560
60,"200,792.00","12,450.00","2,701.00",12.6,9.1,13.3,0,50,0,8,4,0,800,35360
61,"214,928.00","13,327.00","2,892.00",12.6,9.1,13.3,0,50,0,8,4,0,800,36160
62,"214,928.00","13,327.00","2,892.00",12.6,9.1,13.3,0,55,0,11,5.5,0,800,36960
63,"229,824.00","14,251.00","3,092.00",12.6,9.1,13.3,0,55,0,11,5.5,0,800,37760
64,"245,480.00","15,221.00","3,303.00",12.6,9.1,13.3,0,55,0,11,5.5,0,800,38560
65,"245,480.00","15,221.00","3,303.00",12.6,9.1,13.3,0,55,0,11,5.5,0,800,39360
66,"261,896.00","16,239.00","3,524.00",12.6,9.1,13.3,0,55,0,11,5.5,0,800,40160
67,"261,896.00","16,239.00","3,524.00",13.5,9.8,14.3,0,55,0,11,5.5,0,800,40960
68,"279,072.00","17,304.00","3,755.00",13.5,9.8,14.3,0,55,0,11,5.5,0,800,41760
69,"297,008.00","18,416.00","3,996.00",13.5,9.8,14.3,0,55,0,11,5.5,0,800,42560
70,"297,008.00","18,416.00","3,996.00",13.5,9.8,14.3,0,55,0,11,5.5,0,800,43360
71,"315,856.00","19,585.00","4,250.00",13.5,9.8,14.3,0,55,0,11,5.5,0,800,44160
72,"315,856.00","19,585.00","4,250.00",14.4,10.4,15.2,0,60,0,11,5.5,0,800,44960
73,"335,616.00","20,810.00","4,515.00",14.4,10.4,15.2,0,60,0,11,5.5,0,800,45760
74,"356,288.00","22,092.00","4,793.00",14.4,10.4,15.2,0,60,0,11,5.5,0,800,46560
75,"356,288.00","22,092.00","4,793.00",14.4,10.4,15.2,0,60,0,11,5.5,0,800,47360
76,"377,872.00","23,431.00","5,084.00",14.4,10.4,15.2,0,60,0,11,5.5,0,800,48160
77,"377,872.00","23,431.00","5,084.00",14.4,10.4,15.2,0,65,0,14,7,0,800,48960
78,"400,368.00","24,825.00","5,387.00",14.4,10.4,15.2,0,65,0,14,7,0,800,49760
79,"423,776.00","26,277.00","5,701.00",14.4,10.4,15.2,0,65,0,14,7,0,800,50560
80,"423,776.00","26,277.00","5,701.00",14.4,10.4,15.2,0,65,0,14,7,0,800,51360
81,"448,248.00","27,794.00","6,031.00",14.4,10.4,15.2,0,65,0,14,7,0,800,52160
82,"448,248.00","27,794.00","6,031.00",15.3,11.1,16.2,0,70,0,14,7,0,800,52960
83,"473,784.00","29,378.00","6,374.00",15.3,11.1,16.2,0,70,0,14,7,0,800,53760
84,"500,384.00","31,027.00","6,732.00",15.3,11.1,16.2,0,70,0,14,7,0,800,54560
85,"500,384.00","31,027.00","6,732.00",15.3,11.1,16.2,0,70,0,14,7,0,800,55360
86,"528,048.00","32,742.00","7,104.00",15.3,11.1,16.2,0,70,0,14,7,0,800,56160
87,"528,048.00","32,742.00","7,104.00",16.2,11.7,17.1,0,75,0,14,7,0,800,56960
88,"556,776.00","34,524.00","7,491.00",16.2,11.7,17.1,0,75,0,14,7,0,800,57760
89,"586,568.00","36,371.00","7,892.00",16.2,11.7,17.1,0,75,0,14,7,0,800,58560
90,"586,568.00","36,371.00","7,892.00",16.2,11.7,17.1,0,75,0,14,7,0,800,59360
91,"617,576.00","38,294.00","8,309.00",16.2,11.7,17.1,0,75,0,14,7,0,800,60160
92,"617,576.00","38,294.00","8,309.00",17.1,12.4,18.1,0,75,0,14,7,0,800,60960
93,"649,800.00","40,292.00","8,742.00",17.1,12.4,18.1,0,75,0,14,7,0,800,61760
94,"683,240.00","42,365.00","9,192.00",17.1,12.4,18.1,0,75,0,14,7,0,800,62560
95,"683,240.00","42,365.00","9,192.00",17.1,12.4,18.1,0,75,0,14,7,0,800,63360
96,"717,896.00","44,514.00","9,659.00",17.1,12.4,18.1,0,75,0,14,7,0,800,64160
97,"717,896.00","44,514.00","9,659.00",18,13,19,0,75,0,14,7,0,800,64960
98,"753,768.00","46,739.00","10,141.00",18,13,19,0,75,0,14,7,0,800,65760
99,"790,856.00","49,038.00","10,640.00",18,13,19,0,75,0,14,7,0,800,66560
100,"790,856.00","49,038.00","10,640.00",18,13,19,0,75,0,14,7,0,800,67360
101,"829,312.00","51,423.00","11,158.00",18,13,19,0,75,0,14,7,0,800,68160
102,"829,312.00","51,423.00","11,158.00",18.9,13.7,20,0,80,0,15,7.5,0,800,68960
103,"869,136.00","53,892.00","11,693.00",18.9,13.7,20,0,80,0,15,7.5,0,800,69760
104,"910,328.00","56,446.00","12,248.00",18.9,13.7,20,0,80,0,15,7.5,0,800,70560
105,"910,328.00","56,446.00","12,248.00",18.9,13.7,20,0,80,0,15,7.5,0,800,71360
106,"952,888.00","59,085.00","12,820.00",18.9,13.7,20,0,80,0,15,7.5,0,800,72160
107,"952,888.00","59,085.00","12,820.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,72960
108,"996,816.00","61,809.00","13,411.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,73760
109,"1,042,112.00","64,618.00","14,021.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,74560
110,"1,042,112.00","64,618.00","14,021.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,75360
111,"1,088,928.00","67,521.00","14,650.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,76160
112,"1,137,264.00","70,518.00","15,301.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,76960
113,"1,187,120.00","73,609.00","15,971.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,77760
114,"1,238,496.00","76,795.00","16,663.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,78560
115,"1,238,496.00","76,795.00","16,663.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,79360
116,"1,290,176.00","80,000.00","17,358.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,80160
117,"1,341,856.00","83,205.00","18,053.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,80960
118,"1,393,536.00","86,410.00","18,748.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,81760
119,"1,445,216.00","89,615.00","19,443.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,82560
120,"1,445,216.00","89,615.00","19,443.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,83360
121,"1,496,896.00","92,820.00","20,138.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,84160
122,"1,548,576.00","96,025.00","20,833.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,84960
123,"1,600,256.00","99,230.00","21,528.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,85760
124,"1,651,936.00","102,435.00","22,223.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,86560
125,"1,651,936.00","102,435.00","22,223.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,87360
126,"1,703,616.00","105,640.00","22,918.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,88160
127,"1,755,296.00","108,845.00","23,613.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,88960
128,"1,806,976.00","112,050.00","24,308.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,89760
129,"1,858,656.00","115,255.00","25,003.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,90560
130,"1,858,656.00","115,255.00","25,003.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,91360
131,"1,910,336.00","118,460.00","25,698.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,92160
132,"1,962,016.00","121,665.00","26,393.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,92960
133,"2,013,696.00","124,870.00","27,088.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,93760
134,"2,065,376.00","128,075.00","27,783.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,94560
135,"2,065,376.00","128,075.00","27,783.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,95360
136,"2,117,056.00","131,280.00","28,478.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,96160
137,"2,168,736.00","134,485.00","29,173.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,96960
138,"2,220,416.00","137,690.00","29,868.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,97760
139,"2,272,096.00","140,895.00","30,563.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,98560
140,"2,272,096.00","140,895.00","30,563.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,99360
141,"2,323,776.00","144,100.00","31,258.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,100160
142,"2,375,456.00","147,305.00","31,953.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,100960
143,"2,427,136.00","150,510.00","32,648.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,101760
144,"2,478,816.00","153,715.00","33,343.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,102560
145,"2,478,816.00","153,715.00","33,343.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,103360
146,"2,530,496.00","156,920.00","34,038.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,104160
147,"2,582,176.00","160,125.00","34,733.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,104960
148,"2,633,856.00","163,330.00","35,428.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,105760
149,"2,685,536.00","166,535.00","36,123.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,106560
150,"2,685,536.00","166,535.00","36,123.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,107360
151,"2,737,216.00","169,740.00","36,818.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,108160
152,"2,788,896.00","172,945.00","37,513.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,108960
153,"2,840,576.00","176,150.00","38,208.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,109760
154,"2,892,256.00","179,355.00","38,903.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,110560
155,"2,892,256.00","179,355.00","38,903.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,111360
156,"2,943,936.00","182,560.00","39,598.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,112160
157,"2,995,616.00","185,765.00","40,293.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,112960
158,"3,047,296.00","188,970.00","40,988.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,113760
159,"3,098,976.00","192,175.00","41,683.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,114560
160,"3,098,976.00","192,175.00","41,683.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,115360
161,"3,150,656.00","195,380.00","42,378.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,116160
162,"3,202,336.00","198,585.00","43,073.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,116960
163,"3,254,016.00","201,790.00","43,768.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,117760
164,"3,305,696.00","204,995.00","44,463.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,118560
165,"3,305,696.00","204,995.00","44,463.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,119360
166,"3,357,376.00","208,200.00","45,158.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,120160
167,"3,409,056.00","211,405.00","45,853.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,120960
168,"3,460,736.00","214,610.00","46,548.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,121760
169,"3,512,416.00","217,815.00","47,243.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,122560
170,"3,512,416.00","217,815.00","47,243.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,123360
171,"3,564,096.00","221,020.00","47,938.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,124160
172,"3,615,776.00","224,225.00","48,633.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,124960
173,"3,667,456.00","227,430.00","49,328.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,125760
174,"3,719,136.00","230,635.00","50,023.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,126560
175,"3,719,136.00","230,635.00","50,023.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,127360
176,"3,770,816.00","233,840.00","50,718.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,128160
177,"3,822,496.00","237,045.00","51,413.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,128960
178,"3,874,176.00","240,250.00","52,108.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,129760
179,"3,925,856.00","243,455.00","52,803.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,130560
180,"3,925,856.00","243,455.00","52,803.00",19.8,14.3,20.9,0,85,0,15,7.5,0,800,131360
