,HP,ATK,DEF,HP.PR,ATK.PR,DEF.PR,CRIT,HIT,DODG,MSPD,HAST,LFS,COST,TOTALCOST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,585,39,8,0,0,0,0,0,0,0,0,0,50,50
2,585,39,8,0.8,0.8,0.8,0,10,0,0,0,0,60,110
3,"1,463.00",99,20,0.8,0.8,0.8,0,10,0,0,0,0,70,180
4,"1,463.00",99,20,1.6,1.6,1.6,0,10,0,0,0,0,80,260
5,"1,463.00",99,20,1.6,1.6,1.6,0,10,0,0,0,0,100,360
6,"2,633.00",177,36,1.6,1.6,1.6,0,10,0,0,0,0,120,480
7,"2,633.00",177,36,2.4,2.4,2.4,0,10,0,0,0,0,140,620
8,"4,095.00",276,56,2.4,2.4,2.4,0,10,0,0,0,0,160,780
9,"4,095.00",276,56,3.2,3.2,3.2,0,10,0,0,0,0,180,960
10,"4,095.00",276,56,3.2,3.2,3.2,0,10,0,0,0,0,200,1160
11,"5,850.00",394,80,3.2,3.2,3.2,0,10,0,0,0,0,220,1380
12,"5,850.00",394,80,4,4,4,0,15,0,0,0,0,240,1620
13,"7,898.00",532,108,4,4,4,0,15,0,0,0,0,260,1880
14,"7,898.00",532,108,4.8,4.8,4.8,0,15,0,0,0,0,280,2160
15,"7,898.00",532,108,4.8,4.8,4.8,0,15,0,0,0,0,300,2460
16,"10,530.00",709,144,4.8,4.8,4.8,0,15,0,0,0,0,330,2790
17,"10,530.00",709,144,5.6,5.6,5.6,0,20,0,0,0,0,360,3150
18,"13,748.00",926,188,5.6,5.6,5.6,0,20,0,0,0,0,390,3540
19,"13,748.00",926,188,6.4,6.4,6.4,0,20,0,0,0,0,420,3960
20,"13,748.00",926,188,6.4,6.4,6.4,0,20,0,0,0,0,450,4410
21,"17,258.00","1,162.00",236,6.4,6.4,6.4,0,20,0,0,0,0,500,4910
22,"17,258.00","1,162.00",236,7.2,7.2,7.2,0,25,0,0,0,0,550,5460
23,"21,060.00","1,418.00",288,7.2,7.2,7.2,0,25,0,0,0,0,600,6060
24,"25,155.00","1,694.00",344,7.2,7.2,7.2,0,25,0,0,0,0,650,6710
25,"25,155.00","1,694.00",344,7.2,7.2,7.2,0,25,0,0,0,0,700,7410
26,"29,543.00","1,990.00",404,7.2,7.2,7.2,0,25,0,0,0,0,750,8160
27,"29,543.00","1,990.00",404,8,8,8,0,30,0,0,0,0,800,8960
28,"34,223.00","2,305.00",468,8,8,8,0,30,0,0,0,0,800,9760
29,"39,195.00","2,640.00",536,8,8,8,0,30,0,0,0,0,800,10560
30,"39,195.00","2,640.00",536,8,8,8,0,30,0,0,0,0,800,11360
31,"44,460.00","2,994.00",608,8,8,8,0,30,0,0,0,0,800,12160
32,"44,460.00","2,994.00",608,8.8,8.8,8.8,0,35,0,0,0,0,800,12960
33,"50,018.00","3,369.00",684,8.8,8.8,8.8,0,35,0,0,0,0,800,13760
34,"55,868.00","3,763.00",764,8.8,8.8,8.8,0,35,0,0,0,0,800,14560
35,"55,868.00","3,763.00",764,8.8,8.8,8.8,0,35,0,0,0,0,800,15360
36,"62,010.00","4,176.00",848,8.8,8.8,8.8,0,35,0,0,0,0,800,16160
37,"62,010.00","4,176.00",848,8.8,8.8,8.8,0,40,0,0,0,2,800,16960
38,"68,445.00","4,610.00",936,8.8,8.8,8.8,0,40,0,0,0,2,800,17760
39,"75,173.00","5,063.00","1,028.00",8.8,8.8,8.8,0,40,0,0,0,2,800,18560
40,"75,173.00","5,063.00","1,028.00",8.8,8.8,8.8,0,40,0,0,0,2,800,19360
41,"82,339.00","5,546.00","1,126.00",8.8,8.8,8.8,0,40,0,0,0,2,800,20160
42,"82,339.00","5,546.00","1,126.00",9.6,9.6,9.6,0,40,0,0,0,2,800,20960
43,"89,944.00","6,058.00","1,230.00",9.6,9.6,9.6,0,40,0,0,0,2,800,21760
44,"97,988.00","6,600.00","1,340.00",9.6,9.6,9.6,0,40,0,0,0,2,800,22560
45,"97,988.00","6,600.00","1,340.00",9.6,9.6,9.6,0,40,0,0,0,2,800,23360
46,"106,470.00","7,171.00","1,456.00",9.6,9.6,9.6,0,40,0,0,0,2,800,24160
47,"106,470.00","7,171.00","1,456.00",9.6,9.6,9.6,0,40,0,0,0,4,800,24960
48,"115,391.00","7,772.00","1,578.00",9.6,9.6,9.6,0,40,0,0,0,4,800,25760
49,"124,751.00","8,402.00","1,706.00",9.6,9.6,9.6,0,40,0,0,0,4,800,26560
50,"124,751.00","8,402.00","1,706.00",9.6,9.6,9.6,0,40,0,0,0,4,800,27360
51,"134,696.00","9,072.00","1,842.00",9.6,9.6,9.6,0,40,0,0,0,4,800,28160
52,"134,696.00","9,072.00","1,842.00",10.4,10.4,10.4,0,40,0,0,0,4,800,28960
53,"145,226.00","9,781.00","1,986.00",10.4,10.4,10.4,0,40,0,0,0,4,800,29760
54,"156,341.00","10,530.00","2,138.00",10.4,10.4,10.4,0,40,0,0,0,4,800,30560
55,"156,341.00","10,530.00","2,138.00",10.4,10.4,10.4,0,40,0,0,0,4,800,31360
56,"168,041.00","11,318.00","2,298.00",10.4,10.4,10.4,0,40,0,0,0,4,800,32160
57,"168,041.00","11,318.00","2,298.00",11.2,11.2,11.2,0,50,0,0,0,4,800,32960
58,"180,326.00","12,145.00","2,466.00",11.2,11.2,11.2,0,50,0,0,0,4,800,33760
59,"193,196.00","13,012.00","2,642.00",11.2,11.2,11.2,0,50,0,0,0,4,800,34560
60,"193,196.00","13,012.00","2,642.00",11.2,11.2,11.2,0,50,0,0,0,4,800,35360
61,"206,798.00","13,928.00","2,828.00",11.2,11.2,11.2,0,50,0,0,0,4,800,36160
62,"206,798.00","13,928.00","2,828.00",11.2,11.2,11.2,0,60,0,0,0,5,800,36960
63,"221,130.00","14,893.00","3,024.00",11.2,11.2,11.2,0,60,0,0,0,5,800,37760
64,"236,194.00","15,908.00","3,230.00",11.2,11.2,11.2,0,60,0,0,0,5,800,38560
65,"236,194.00","15,908.00","3,230.00",11.2,11.2,11.2,0,60,0,0,0,5,800,39360
66,"251,989.00","16,972.00","3,446.00",11.2,11.2,11.2,0,60,0,0,0,5,800,40160
67,"251,989.00","16,972.00","3,446.00",12,12,12,0,60,0,0,0,5,800,40960
68,"268,515.00","18,085.00","3,672.00",12,12,12,0,60,0,0,0,5,800,41760
69,"285,773.00","19,247.00","3,908.00",12,12,12,0,60,0,0,0,5,800,42560
