,HP,ATK,DEF,HP.PR,ATK.PR,DEF.PR,CRIT,HIT,DODG,MSPD,HAST,LFS,COST,TOTALCOST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,580,40,8,0,0,0,0,0,0,0,0,0,50,50
2,580,40,8,0.9,0.8,0.8,0,0,0,3,1.5,0,60,110
3,"1,450.00",100,20,0.9,0.8,0.8,0,0,0,3,1.5,0,70,180
4,"1,450.00",100,20,1.7,1.5,1.6,0,0,0,3,1.5,0,80,260
5,"1,450.00",100,20,1.7,1.5,1.6,0,0,0,3,1.5,0,100,360
6,"2,609.00",180,35,1.7,1.5,1.6,0,0,0,3,1.5,0,120,480
7,"2,609.00",180,35,2.6,2.3,2.4,0,0,0,3,1.5,0,140,620
8,"4,059.00",280,55,2.6,2.3,2.4,0,0,0,3,1.5,0,160,780
9,"4,059.00",280,55,3.4,3,3.2,0,0,0,3,1.5,0,180,960
10,"4,059.00",280,55,3.4,3,3.2,0,0,0,3,1.5,0,200,1160
11,"5,798.00",400,78,3.4,3,3.2,0,0,0,3,1.5,0,220,1380
12,"5,798.00",400,78,4.3,3.8,4,0,0,0,6,3,0,240,1620
13,"7,827.00",539,106,4.3,3.8,4,0,0,0,6,3,0,260,1880
14,"7,827.00",539,106,5.1,4.5,4.8,0,0,0,6,3,0,280,2160
15,"7,827.00",539,106,5.1,4.5,4.8,0,0,0,6,3,0,300,2460
16,"10,436.00",719,141,5.1,4.5,4.8,0,0,0,6,3,0,330,2790
17,"10,436.00",719,141,6,5.3,5.6,0,0,0,6,3,0,360,3150
18,"13,625.00",939,184,6,5.3,5.6,0,0,0,6,3,0,390,3540
19,"13,625.00",939,184,6.8,6,6.4,0,0,0,6,3,0,420,3960
20,"13,625.00",939,184,6.8,6,6.4,0,0,0,6,3,0,450,4410
21,"17,104.00","1,179.00",231,6.8,6,6.4,0,0,0,6,3,0,500,4910
22,"17,104.00","1,179.00",231,7.7,6.8,7.2,0,0,0,9,4.5,0,550,5460
23,"20,873.00","1,439.00",282,7.7,6.8,7.2,0,0,0,9,4.5,0,600,6060
24,"24,931.00","1,718.00",336,7.7,6.8,7.2,0,0,0,9,4.5,0,650,6710
25,"24,931.00","1,718.00",336,7.7,6.8,7.2,0,0,0,9,4.5,0,700,7410
26,"29,280.00","2,018.00",395,7.7,6.8,7.2,0,0,0,9,4.5,0,750,8160
27,"29,280.00","2,018.00",395,8.5,7.5,8,0,0,0,9,4.5,0,800,8960
28,"33,918.00","2,338.00",457,8.5,7.5,8,0,0,0,9,4.5,0,800,9760
29,"38,847.00","2,677.00",524,8.5,7.5,8,0,0,0,9,4.5,0,800,10560
30,"38,847.00","2,677.00",524,8.5,7.5,8,0,0,0,9,4.5,0,800,11360
31,"44,065.00","3,037.00",594,8.5,7.5,8,0,0,0,9,4.5,0,800,12160
32,"44,065.00","3,037.00",594,9.4,8.3,8.8,0,0,0,9,4.5,0,800,12960
33,"49,573.00","3,417.00",669,9.4,8.3,8.8,0,0,0,9,4.5,0,800,13760
34,"55,371.00","3,816.00",747,9.4,8.3,8.8,0,0,0,9,4.5,0,800,14560
35,"55,371.00","3,816.00",747,9.4,8.3,8.8,0,0,0,9,4.5,0,800,15360
36,"61,459.00","4,236.00",829,9.4,8.3,8.8,0,0,0,9,4.5,0,800,16160
37,"61,459.00","4,236.00",829,9.4,8.3,8.8,0,0,5,12,6,0,800,16960
38,"67,837.00","4,675.00",915,9.4,8.3,8.8,0,0,5,12,6,0,800,17760
39,"74,504.00","5,135.00","1,005.00",9.4,8.3,8.8,0,0,5,12,6,0,800,18560
40,"74,504.00","5,135.00","1,005.00",9.4,8.3,8.8,0,0,5,12,6,0,800,19360
41,"81,607.00","5,624.00","1,101.00",9.4,8.3,8.8,0,0,5,12,6,0,800,20160
42,"81,607.00","5,624.00","1,101.00",10.2,9,9.6,0,0,5,12,6,0,800,20960
43,"89,144.00","6,144.00","1,202.00",10.2,9,9.6,0,0,5,12,6,0,800,21760
44,"97,117.00","6,693.00","1,310.00",10.2,9,9.6,0,0,5,12,6,0,800,22560
45,"97,117.00","6,693.00","1,310.00",10.2,9,9.6,0,0,5,12,6,0,800,23360
46,"105,524.00","7,273.00","1,423.00",10.2,9,9.6,0,0,5,12,6,0,800,24160
47,"105,524.00","7,273.00","1,423.00",10.2,9,9.6,0,0,10,15,7.5,0,800,24960
48,"114,366.00","7,882.00","1,542.00",10.2,9,9.6,0,0,10,15,7.5,0,800,25760
49,"123,642.00","8,521.00","1,668.00",10.2,9,9.6,0,0,10,15,7.5,0,800,26560
50,"123,642.00","8,521.00","1,668.00",10.2,9,9.6,0,0,10,15,7.5,0,800,27360
51,"133,499.00","9,201.00","1,801.00",10.2,9,9.6,0,0,10,15,7.5,0,800,28160
52,"133,499.00","9,201.00","1,801.00",11.1,9.8,10.4,0,0,15,15,7.5,0,800,28960
53,"143,935.00","9,920.00","1,941.00",11.1,9.8,10.4,0,0,15,15,7.5,0,800,29760
54,"154,952.00","10,679.00","2,090.00",11.1,9.8,10.4,0,0,15,15,7.5,0,800,30560
55,"154,952.00","10,679.00","2,090.00",11.1,9.8,10.4,0,0,15,15,7.5,0,800,31360
56,"166,548.00","11,479.00","2,246.00",11.1,9.8,10.4,0,0,15,15,7.5,0,800,32160
57,"166,548.00","11,479.00","2,246.00",11.9,10.5,11.2,0,0,15,15,7.5,0,800,32960
58,"178,723.00","12,318.00","2,411.00",11.9,10.5,11.2,0,0,15,15,7.5,0,800,33760
59,"191,479.00","13,197.00","2,583.00",11.9,10.5,11.2,0,0,15,15,7.5,0,800,34560
60,"191,479.00","13,197.00","2,583.00",11.9,10.5,11.2,0,0,15,15,7.5,0,800,35360
